package,date,tidy_depends,tidy_imports,tidy_suggests,total_tidy,tidy,n_imports,depends,imports,suggests,totalverse,totalverse_pct
haarfisz,2010-03-16,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.0), wavethresh",NA,NA,0,0
endogMNP,2010-04-02,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.1), utils",NA,NA,0,0
nws,2010-04-13,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.1), methods",NA,NA,0,0
identity,2010-04-14,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.0.0),NA,NA,0,0
ProDenICA,2010-05-01,FALSE,FALSE,FALSE,0,0,0,gam,NA,NA,0,0
SEL,2010-05-23,FALSE,FALSE,FALSE,0,0,0,"splines, quadprog, lattice",NA,NA,0,0
ttutils,2010-06-20,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
RNCBIEUtilsLibs,2010-06-25,FALSE,FALSE,FALSE,0,0,1,"R (≥ 2.9.0), rJava (≥ 0.8)",methods,NA,0,0
mlmmm,2010-07-07,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
perm,2010-07-29,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.2.1), stats",NA,coin,0,0
psychometric,2010-08-08,FALSE,FALSE,FALSE,0,0,2,"multilevel, nlme, R (≥ 2.11.0)","multilevel, nlme",NA,0,0
laercio,2010-09-17,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
factorQR,2010-09-29,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.1), lattice",NA,NA,0,0
genepi,2010-10-01,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.0.0), stats",NA,NA,0,0
inference,2010-10-27,FALSE,FALSE,FALSE,0,0,0,"sandwich, methods",NA,NA,0,0
dcv,2010-12-06,FALSE,FALSE,FALSE,0,0,0,lmtest,NA,NA,0,0
orQA,2010-12-16,FALSE,FALSE,FALSE,0,0,0,"Rcpp (≥ 0.8.9), gtools (≥ 2.6.1), genefilter (≥ 1.24.3), nlme (≥ 3.1-96)",NA,NA,0,0
factualR,2011-01-03,FALSE,FALSE,FALSE,0,0,0,"methods, RJSONIO, RCurl",NA,NA,0,0
reliaR,2011-01-03,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
darts,2011-01-20,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
outliers,2011-01-24,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.0),NA,NA,0,0
cmaes,2011-01-29,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.9.0),NA,RUnit,0,0
Meth27QC,2011-02-18,FALSE,FALSE,FALSE,0,0,0,"gplots, tcltk",NA,NA,0,0
fpca,2011-02-24,FALSE,FALSE,FALSE,0,0,0,"sm, splines",NA,NA,0,0
lcda,2011-04-06,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.6.0), poLCA",NA,NA,0,0
brew,2011-04-13,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
SPECIES,2011-04-24,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
MAPLES,2011-04-26,FALSE,FALSE,FALSE,0,0,0,mgcv,NA,NA,0,0
Kendall,2011-05-18,FALSE,FALSE,FALSE,0,0,1,R (≥ 2.1.0),boot,NA,0,0
gtcorr,2011-05-26,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
limitplot,2011-07-06,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.9.0),NA,NA,0,0
CLSOCP,2011-07-23,FALSE,FALSE,FALSE,0,0,0,Matrix,NA,NA,0,0
minimax,2011-07-23,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
mkssd,2011-08-05,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.13.0),NA,NA,0,0
mxkssd,2011-08-08,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.13.0),NA,NA,0,0
venneuler,2011-08-10,FALSE,FALSE,FALSE,0,0,0,rJava,NA,NA,0,0
ieeeround,2011-08-18,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
viopoints,2011-08-28,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
ISOweek,2011-09-07,FALSE,TRUE,FALSE,1,1,1,NA,stringr,testthat,1,5.81192607230036e-5
MultEq,2011-10-20,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.10.0),NA,SimComp,1,5.81192607230036e-5
AnnotLists,2011-10-23,FALSE,FALSE,FALSE,0,0,0,tcltk,NA,NA,1,5.81192607230036e-5
emma,2011-10-26,FALSE,FALSE,FALSE,0,0,1,"R (≥ 2.9.2), earth, clusterSim",methods,NA,1,5.81192607230036e-5
objectSignals,2011-10-28,FALSE,FALSE,FALSE,0,0,1,"R (≥ 2.12), methods",methods,NA,1,5.81192607230036e-5
EL,2011-11-02,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
rationalfun,2011-11-02,FALSE,FALSE,FALSE,0,0,1,polynom,stats,NA,1,5.81192607230036e-5
mail,2011-11-03,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.0.0),NA,NA,1,5.81192607230036e-5
SyNet,2011-11-16,FALSE,FALSE,FALSE,0,0,0,"tkrplot, tcltk",NA,NA,1,5.81192607230036e-5
ProfileLikelihood,2011-11-19,FALSE,FALSE,FALSE,0,0,0,"nlme, MASS",NA,NA,1,5.81192607230036e-5
Survgini,2011-11-22,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.11.0), survival",NA,NA,1,5.81192607230036e-5
mpm,2011-11-25,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.10), MASS, KernSmooth",NA,NA,1,5.81192607230036e-5
plugdensity,2011-11-30,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
OrdMonReg,2011-12-01,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
EMC,2011-12-11,FALSE,FALSE,FALSE,0,0,0,"R (≥ 1.9.0), mvtnorm, MASS, graphics",NA,NA,1,5.81192607230036e-5
SMC,2011-12-11,FALSE,FALSE,FALSE,0,0,0,R (≥ 1.9.0),NA,NA,1,5.81192607230036e-5
objectProperties,2011-12-13,FALSE,FALSE,FALSE,0,0,2,"R (≥ 2.12), methods, objectSignals","methods, objectSignals (≥ 0.10.2)",NA,1,5.81192607230036e-5
ADGofTest,2011-12-28,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
cin,2011-12-30,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
GOGANPA,2012-01-03,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.10), GANPA, WGCNA",NA,"GANPA, WGCNA, GANPAdata",1,5.81192607230036e-5
rpsychi,2012-01-03,FALSE,FALSE,FALSE,0,0,0,gtools,NA,NA,1,5.81192607230036e-5
MImix,2012-01-05,FALSE,FALSE,FALSE,0,0,0,NA,NA,mitools,1,5.81192607230036e-5
events,2012-01-07,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.10),NA,NA,1,5.81192607230036e-5
lisp,2012-01-12,FALSE,FALSE,FALSE,0,0,0,NA,NA,RUnit,1,5.81192607230036e-5
randaes,2012-01-13,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
PKPDmodels,2012-01-15,FALSE,FALSE,FALSE,0,0,1,R (≥ 2.13.0),compiler,lattice,1,5.81192607230036e-5
DBGSA,2012-01-16,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.12.2), fdrtool (≥ 1.2.6)",NA,NA,1,5.81192607230036e-5
ifa,2012-01-17,FALSE,FALSE,FALSE,0,0,1,R (≥ 1.9.0),mvtnorm,NA,1,5.81192607230036e-5
cytoDiv,2012-01-18,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.13.1), GenKern, plotrix",NA,NA,1,5.81192607230036e-5
SEER2R,2012-01-22,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
MIPHENO,2012-01-27,FALSE,FALSE,FALSE,0,0,2,R (≥ 2.12.1),"doBy, gdata",NA,1,5.81192607230036e-5
geotools,2012-01-28,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
tlmec,2012-01-28,FALSE,FALSE,FALSE,0,0,0,"R (≥ 1.9.0), mvtnorm (≥ 0.9-9991)",NA,NA,1,5.81192607230036e-5
semdiag,2012-01-30,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.10), sem",NA,NA,1,5.81192607230036e-5
futile.paradigm,2012-02-06,FALSE,FALSE,FALSE,0,0,0,"futile.options, RUnit",NA,NA,1,5.81192607230036e-5
pairheatmap,2012-02-10,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.10.0), grid",NA,NA,1,5.81192607230036e-5
idbg,2012-02-11,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
gamlss.nl,2012-02-15,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.2.1), gamlss, survival",NA,NA,1,5.81192607230036e-5
barcode,2012-02-20,FALSE,FALSE,FALSE,0,0,0,"grid, lattice",NA,NA,1,5.81192607230036e-5
benchden,2012-02-29,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
rBeta2009,2012-03-01,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
AmericanCallOpt,2012-03-04,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.0.0),NA,NA,1,5.81192607230036e-5
eqtl,2012-03-08,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.10), qtl (≥ 1.7.12)",NA,NA,1,5.81192607230036e-5
qLearn,2012-03-09,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
VarSwapPrice,2012-03-15,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
bmd,2012-03-16,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.6.0), drc",NA,NA,1,5.81192607230036e-5
R2wd,2012-03-16,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.10.0),NA,"rcom, RDCOMClient",1,5.81192607230036e-5
DeducerPlugInExample,2012-03-17,FALSE,FALSE,FALSE,0,0,0,Deducer (≥ 0.5-0),NA,NA,1,5.81192607230036e-5
DeducerPlugInScaling,2012-03-17,FALSE,FALSE,FALSE,0,0,0,"Deducer, psych, GPArotation, mvnormtest, irr, klaR",NA,NA,1,5.81192607230036e-5
PSAgraphics,2012-03-18,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.14.0), rpart",NA,NA,1,5.81192607230036e-5
AUCRF,2012-03-19,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.11.0), randomForest",NA,NA,1,5.81192607230036e-5
mgpd,2012-03-19,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.10.1), evd, numDeriv, corpcor, fields",NA,NA,1,5.81192607230036e-5
nnls,2012-03-19,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
QuantPsyc,2012-03-20,FALSE,FALSE,FALSE,0,0,0,"boot, MASS",NA,NA,1,5.81192607230036e-5
lle,2012-03-21,FALSE,FALSE,FALSE,0,0,0,"scatterplot3d, MASS, snowfall",NA,rgl,1,5.81192607230036e-5
mvtsplot,2012-03-21,FALSE,FALSE,FALSE,0,0,2,"R (≥ 2.14.0), RColorBrewer","splines, graphics",NA,1,5.81192607230036e-5
represent,2012-03-21,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
filehashSQLite,2012-03-23,FALSE,FALSE,FALSE,0,0,2,"R (≥ 2.14.0), methods, filehash (≥ 1.0), DBI, RSQLite","filehash, DBI",NA,1,5.81192607230036e-5
MHadaptive,2012-03-24,FALSE,FALSE,FALSE,0,0,0,"MASS, R (≥ 2.14.0)",NA,NA,1,5.81192607230036e-5
FBN,2012-03-26,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.10),NA,NA,1,5.81192607230036e-5
mlgt,2012-03-26,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.13.0), methods, seqinr",NA,snowfall,1,5.81192607230036e-5
WWGbook,2012-03-28,FALSE,FALSE,FALSE,0,0,0,R (≥ 1.4.1),NA,NA,1,5.81192607230036e-5
apsrtable,2012-04-02,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.14.0), methods",NA,NA,1,5.81192607230036e-5
FinAsym,2012-04-03,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
BayesDA,2012-04-10,FALSE,FALSE,FALSE,0,0,0,"stats, R (≥ 2.2.0)",NA,MCMCpack,1,5.81192607230036e-5
elec.strat,2012-04-10,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.10), elec",NA,NA,1,5.81192607230036e-5
mvnormtest,2012-04-12,FALSE,FALSE,FALSE,0,0,0,stats,NA,NA,1,5.81192607230036e-5
reweight,2012-04-12,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
sROC,2012-04-12,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
LIHNPSD,2012-04-13,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.14.1), sn, moments, BB, Bolstad2, optimx, Rmpfr",NA,NA,1,5.81192607230036e-5
labeledLoop,2012-04-21,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.14),NA,NA,1,5.81192607230036e-5
lassoshooting,2012-05-02,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.12.0),NA,NA,1,5.81192607230036e-5
discreteMTP,2012-05-05,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
tensor,2012-05-05,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
clime,2012-05-06,FALSE,FALSE,FALSE,0,0,0,lpSolve,NA,"lorec, scio",1,5.81192607230036e-5
CityPlot,2012-05-07,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
iCluster,2012-05-08,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.15.0), lattice, caTools, gdata, gtools, gplots, parallel",NA,NA,1,5.81192607230036e-5
dafs,2012-05-11,FALSE,FALSE,FALSE,0,0,0,s20x,NA,NA,1,5.81192607230036e-5
SortableHTMLTables,2012-05-13,FALSE,FALSE,FALSE,0,0,0,"testthat, brew",NA,NA,1,5.81192607230036e-5
cumplyr,2012-05-14,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
cvTools,2012-05-14,FALSE,FALSE,FALSE,0,0,3,"R (≥ 2.11.0), lattice, robustbase","lattice, robustbase, stats",NA,1,5.81192607230036e-5
ri,2012-05-15,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
M3,2012-05-16,FALSE,FALSE,FALSE,0,0,0,"ncdf4, rgdal, maps, mapdata",NA,NA,1,5.81192607230036e-5
simSummary,2012-05-17,FALSE,FALSE,FALSE,0,0,1,"abind (≥ 1.4-0), svUnit (≥ 0.7-5)",gdata (≥ 2.8.0),NA,1,5.81192607230036e-5
makeProject,2012-05-18,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
irtrees,2012-05-19,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.10),NA,lme4,1,5.81192607230036e-5
WeightedPortTest,2012-05-24,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
fgof,2012-05-25,FALSE,FALSE,FALSE,0,0,0,"mvtnorm, numDeriv",NA,NA,1,5.81192607230036e-5
plus,2012-05-28,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.10), grDevices, graphics, stats, utils",NA,NA,1,5.81192607230036e-5
foodweb,2012-05-30,FALSE,FALSE,FALSE,0,0,0,rgl,NA,NA,1,5.81192607230036e-5
OIdata,2012-05-31,FALSE,FALSE,FALSE,0,0,2,"RCurl, maps, R (≥ 2.10)","RCurl, maps",NA,1,5.81192607230036e-5
hiPOD,2012-06-01,FALSE,FALSE,FALSE,0,0,0,rgl,NA,NA,1,5.81192607230036e-5
howmany,2012-06-01,FALSE,FALSE,FALSE,0,0,2,NA,"graphics, stats",NA,1,5.81192607230036e-5
relaxo,2012-06-01,FALSE,FALSE,FALSE,0,0,3,lars,"graphics, utils, stats",NA,1,5.81192607230036e-5
SimpleTable,2012-06-03,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.5.1), hdrcde, locfit, MCMCpack, tcltk",NA,NA,1,5.81192607230036e-5
MorseGen,2012-06-04,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
Voss,2012-06-04,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.14.0), fields",NA,NA,1,5.81192607230036e-5
RIFS,2012-06-05,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.14.0),NA,NA,1,5.81192607230036e-5
R330,2012-06-07,FALSE,FALSE,FALSE,0,0,0,"s20x, leaps, rgl, lattice",NA,NA,1,5.81192607230036e-5
CHCN,2012-06-08,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.11.0), methods, bitops, RCurl",NA,NA,1,5.81192607230036e-5
rrlda,2012-06-09,FALSE,FALSE,FALSE,0,0,0,"pcaPP, mvoutlier, glasso, matrixcalc",NA,NA,1,5.81192607230036e-5
caribou,2012-06-11,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
extrafontdb,2012-06-11,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.14),NA,NA,1,5.81192607230036e-5
dummies,2012-06-14,FALSE,FALSE,FALSE,0,0,0,utils,NA,NA,1,5.81192607230036e-5
bisectr,2012-06-15,FALSE,FALSE,FALSE,0,0,1,R (≥ 2.14),devtools,NA,1,5.81192607230036e-5
crossmatch,2012-06-17,FALSE,FALSE,FALSE,0,0,0,"survival, nbpMatching",NA,MASS,1,5.81192607230036e-5
AMAP.Seq,2012-06-19,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
RVideoPoker,2012-06-20,FALSE,FALSE,FALSE,0,0,0,"pixmap, tkrplot, rpanel",NA,NA,1,5.81192607230036e-5
ezglm,2012-06-21,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
psy,2012-06-21,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
RAD,2012-06-28,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.10), mvtnorm, MASS",NA,NA,1,5.81192607230036e-5
myepisodes,2012-07-03,FALSE,FALSE,FALSE,0,0,1,NA,XML,NA,1,5.81192607230036e-5
p3state.msm,2012-07-04,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.8.1), survival, base",NA,NA,1,5.81192607230036e-5
ncg,2012-07-05,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
NLRoot,2012-07-06,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
WMDB,2012-07-06,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
extraBinomial,2012-07-09,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
SECP,2012-07-09,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.14.0), SPSL (≥ 0.1-6)",NA,NA,1,5.81192607230036e-5
DeducerSurvival,2012-07-11,FALSE,FALSE,FALSE,0,0,0,Deducer (≥ 0.5-0),NA,NA,1,5.81192607230036e-5
HW.pval,2012-07-11,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
hypothesestest,2012-07-11,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,1,5.81192607230036e-5
UScensus2010,2012-07-12,FALSE,FALSE,TRUE,1,1,0,"R (≥ 2.10), maptools, sp, foreign, methods, grDevices, base, stats, utils",NA,"rgdal, gpclib",2,1.162385214460072e-4
FRACTION,2012-07-20,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,2,1.162385214460072e-4
c3net,2012-07-23,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.12.1), igraph",NA,NA,2,1.162385214460072e-4
FindAllRoots,2012-07-23,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,2,1.162385214460072e-4
FunCluster,2012-07-23,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.10), Hmisc, cluster",NA,NA,2,1.162385214460072e-4
geneListPie,2012-07-23,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.10),NA,plotrix,2,1.162385214460072e-4
GExMap,2012-07-23,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.10), Biobase, multtest",NA,NA,2,1.162385214460072e-4
mcclust,2012-07-23,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.10), lpSolve",NA,NA,2,1.162385214460072e-4
schoolmath,2012-07-23,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.10),NA,NA,2,1.162385214460072e-4
gogarch,2012-07-28,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.10.0), methods, stats, graphics, fGarch, fastICA",NA,NA,2,1.162385214460072e-4
HyPhy,2012-07-30,FALSE,FALSE,FALSE,0,0,0,"ape, R.utils",NA,NA,2,1.162385214460072e-4
rJython,2012-07-30,FALSE,FALSE,FALSE,0,0,0,"rJava (≥ 0.8-1), rjson (≥ 0.1.9)",NA,NA,2,1.162385214460072e-4
rtape,2012-07-31,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,2,1.162385214460072e-4
Runiversal,2012-08-01,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,2,1.162385214460072e-4
coexist,2012-08-02,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,2,1.162385214460072e-4
crn,2012-08-02,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.11.0), chron, RCurl",NA,NA,2,1.162385214460072e-4
R2PPT,2012-08-04,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.3.0),NA,"rcom, RDCOMClient",2,1.162385214460072e-4
deamer,2012-08-05,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,2,1.162385214460072e-4
notifyR,2012-08-06,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.15.0), RCurl, rjson",NA,NA,2,1.162385214460072e-4
fugeR,2012-08-08,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.15.1), snowfall, Rcpp (≥ 0.9.12)",NA,NA,2,1.162385214460072e-4
bvenn,2012-08-09,FALSE,FALSE,FALSE,0,0,0,grid,NA,NA,2,1.162385214460072e-4
modelfree,2012-08-09,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.8.1), PolynomF (≥ 0.93), SparseM (≥ 0.79), stats, utils, base",NA,NA,2,1.162385214460072e-4
p2distance,2012-08-09,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,2,1.162385214460072e-4
IC2,2012-08-10,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,2,1.162385214460072e-4
obliqueRF,2012-08-10,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.0.0), stats, ROCR, pls, mda, e1071",NA,NA,2,1.162385214460072e-4
PLIS,2012-08-11,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,2,1.162385214460072e-4
kerdiest,2012-08-13,FALSE,FALSE,FALSE,0,0,0,"date, chron, evir",NA,NA,2,1.162385214460072e-4
SQN,2012-08-13,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.6.0), mclust (≥ 3.2), nor1mix (≥ 1.0-7)",NA,NA,2,1.162385214460072e-4
